SIMATIC MANAGER DATA BLOCK TABLE STRUCTURE
==========================================
Format: Variable_Name	Type	Address	Initial_Value	Comment

==========================================
DB100 - LAPTOP COMMUNICATION INTERFACE
==========================================

Command_Word	WORD	0	W#16#0	Lệnh từ Laptop
Status_Word	WORD	2	W#16#1	Trạng thái PLC
Handshake	BOOL	4.0	FALSE	Handshake bit
Data_Valid	BOOL	4.1	FALSE	Dữ liệu hợp lệ
Error_Flag	BOOL	4.2	FALSE	Cờ lỗi
Reserved_Bits	BOOL	4.3	FALSE	Dự trữ (4.3-4.7)
Area_Selection	INT	6	1	Khu vực (1=Area1, 2=Area2)
Coordinate_Set	INT	8	1	Bộ tọa độ (1-10)
X_Coordinate	DINT	10	L#0	Tọa độ X (mm)
Y_Coordinate	DINT	14	L#0	Tọa độ Y (mm)
Z_Coordinate	DINT	18	L#500	Tọa độ Z (mm)
RX_Rotation	INT	22	0	Góc RX (degrees*100)
RY_Rotation	INT	24	0	Góc RY (degrees*100)
RZ_Rotation	INT	26	0	Góc RZ (degrees*100)
Gripper_Command	INT	28	0	Lệnh gripper
Speed_Override	INT	30	100	Tốc độ (10-100%)
Timestamp	TIME	32	T#0MS	Timestamp
Error_Code	WORD	36	W#16#0	Mã lỗi
Cycle_Counter	DINT	38	L#0	Bộ đếm chu kỳ
Reserved_1	WORD	42	W#16#0	Dự trữ mở rộng
Reserved_2	WORD	44	W#16#0	Dự trữ mở rộng
Reserved_3	WORD	46	W#16#0	Dự trữ mở rộng
Reserved_4	WORD	48	W#16#0	Dự trữ mở rộng
Reserved_5	WORD	50	W#16#0	Dự trữ mở rộng
Reserved_6	WORD	52	W#16#0	Dự trữ mở rộng
Reserved_7	WORD	54	W#16#0	Dự trữ mở rộng
Reserved_8	WORD	56	W#16#0	Dự trữ mở rộng
Reserved_9	WORD	58	W#16#0	Dự trữ mở rộng
Reserved_10	WORD	60	W#16#0	Dự trữ mở rộng

==========================================
DB101 - ROBOT COMMUNICATION BUFFER
==========================================

Robot_Command	WORD	0	W#16#0	Lệnh gửi Robot
Robot_Status	WORD	2	W#16#0	Trạng thái Robot
Command_Active	BOOL	4.0	FALSE	Lệnh đang active
Robot_Ready	BOOL	4.1	FALSE	Robot sẵn sàng
Movement_Complete	BOOL	4.2	FALSE	Chuyển động hoàn tất
Robot_Error	BOOL	4.3	FALSE	Lỗi Robot
Target_X	DINT	6	L#0	Tọa độ X đích
Target_Y	DINT	10	L#0	Tọa độ Y đích
Target_Z	DINT	14	L#500	Tọa độ Z đích
Target_RX	INT	18	0	Góc RX đích
Target_RY	INT	20	0	Góc RY đích
Target_RZ	INT	22	0	Góc RZ đích
Current_X	DINT	24	L#0	Tọa độ X hiện tại
Current_Y	DINT	28	L#0	Tọa độ Y hiện tại
Current_Z	DINT	32	L#500	Tọa độ Z hiện tại
Current_RX	INT	36	0	Góc RX hiện tại
Current_RY	INT	38	0	Góc RY hiện tại
Current_RZ	INT	40	0	Góc RZ hiện tại
Movement_Speed	INT	42	100	Tốc độ chuyển động
Acceleration	INT	44	50	Gia tốc
Gripper_Status	INT	46	0	Trạng thái gripper
Tool_Number	INT	48	1	Số tool
